,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,
A_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_2,3,41,1,1,0,1,0,0,0,0,0,0,0,1,
A_3,0,9,87,1,0,4,0,0,0,0,0,4,0,1,
A_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_5,0,0,0,5,2,9,0,0,0,0,0,0,0,0,
A_6,0,0,0,0,3,32,0,0,0,1,0,3,0,0,
A_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_9,0,0,0,0,0,1,4,0,6,0,2,0,0,3,
A_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
